,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
443,jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time how many jars will she need ?,56 8,/ number0 number1,7.0,"[2, 3, 37, 38, 39, 12, 13, 14, 15, 17, 27, 28, 29, 30]",3,Common-Division,jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time,how many jars will she need ?
444,jane helped her mom prepare fresh lemonade . if each glass needs number0 lemons how many glasses of fresh lemonade can she make if they have number1 lemons ?,2 18,/ number1 number0,9.0,"[3, 9, 11, 12, 13, 17, 25, 26, 27]",3,Common-Division,jane helped her mom prepare fresh lemonade . if each glass needs number0 lemons,how many glasses of fresh lemonade can she make if they have number1 lemons ?
445,for dessert jane 's mom prepared number0 pieces of bite-size cinnamon swirls . if the number1 of them ate an equal number of pieces of cinnamon swirls how many pieces did jane eat ?,12 3,/ number0 number1,4.0,"[32, 5, 6, 7, 14, 15, 16, 19, 30, 31]",3,Common-Division,for dessert jane 's mom prepared number0 pieces of bite-size cinnamon swirls . if the number1 of them ate an equal number of pieces of cinnamon swirls,how many pieces did jane eat ?
446,marian also baked oatmeal cookies for her classmates . if she can place number0 cookies on a tray at a time how many trays will she need to prepare number1 oatmeal cookies at a time ?,12 276,/ number1 number0,23.0,"[32, 33, 2, 3, 34, 12, 13, 14, 19, 28, 29, 30, 31]",3,Common-Division,marian also baked oatmeal cookies for her classmates . if she can place number0 cookies on a tray at a time,how many trays will she need to prepare number1 oatmeal cookies at a time ?
447,marian 's friends were coming over that afternoon so she made number0 bite-sized pretzels . if number1 serving is equal to number2 pretzels how many servings of bite-sized pretzels was marian able to prepare ?,480 1 12,/ number0 number2,40.0,"[32, 33, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 22, 27, 31]",3,Common-Division,marian 's friends were coming over that afternoon so she made number0 bite-sized pretzels . if number1 serving is equal to number2 pretzels,how many servings of bite-sized pretzels was marian able to prepare ?
448,susie and her sister gathered all number0 of their teddy bears and placed them on the shelves in their bedroom . if every shelf can carry a maximum of number1 teddy bears how many shelves will be filled ?,98 7,/ number0 number1,14.0,"[35, 36, 5, 6, 7, 37, 22, 28, 29, 30, 31]",3,Common-Division,susie and her sister gathered all number0 of their teddy bears and placed them on the shelves in their bedroom . if every shelf can carry a maximum of number1 teddy bears,how many shelves will be filled ?
449,susie 's mother collected all family pictures and wanted to place all of them in an album . if an album can contain number0 pictures how many albums will she need if there are number1 pictures ?,20 480,/ number1 number0,24.0,"[33, 34, 35, 3, 4, 15, 22, 23, 24]",3,Common-Division,susie 's mother collected all family pictures and wanted to place all of them in an album . if an album can contain number0 pictures,how many albums will she need if there are number1 pictures ?
450,susie 's father repaired the bookshelves in the reading room . if he has number0 books to be distributed equally on the number1 shelves he repaired how many books will each shelf contain ?,210 10,/ number0 number1,21.0,"[32, 2, 13, 14, 15, 16, 21, 22, 23, 30, 31]",3,Common-Division,susie 's father repaired the bookshelves in the reading room . if he has number0 books to be distributed equally on the number1 shelves he repaired,how many books will each shelf contain ?
451,matt and his friends were thinking of making christmas decors for the clubhouse in their neighborhood . they are to repaint number0 balls in number1 different colors . if they painted an equal number of balls for every color how many balls are there for each color ?,350 10,/ number0 number1,35.0,"[3, 37, 8, 12, 45, 44, 15, 46, 20, 21, 22, 23, 24, 25, 26]",3,Common-Division,matt and his friends were thinking of making christmas decors for the clubhouse in their neighborhood . they are to repaint number0 balls in number1 different colors . if they painted an equal number of balls for every color,how many balls are there for each color ?
452,they also gathered paper to create some star-shaped papier-mache . if each star requires number0 pieces of paper and they had number1 pieces of paper how many stars were they able to make ?,20 680,/ number1 number0,34.0,"[32, 3, 10, 11, 13, 14, 15, 20, 21, 22, 30, 31]",3,Common-Division,they also gathered paper to create some star-shaped papier-mache . if each star requires number0 pieces of paper and they had number1 pieces of paper,how many stars were they able to make ?
453,allen charles lex and shiela spent days reading books for their book report . the texts were printed very small so they were only able to cover very few pages a day . allen read about the solar system . he read number0 pages a day of a book which has number1 pages . how many days did it take allen to finish reading the book ?,10 120,/ number1 number0,12.0,"[64, 1, 65, 41, 42, 43, 12, 10, 14, 50, 51, 52, 63]",3,Common-Division,allen charles lex and shiela spent days reading books for their book report . the texts were printed very small so they were only able to cover very few pages a day . allen read about the solar system . he read number0 pages a day of a book which has number1 pages .,how many days did it take allen to finish reading the book ?
454,lex read a number0 page book about music and instruments . if he can read exactly number1 pages a day how many days will it take lex to finish reading the book ?,420 30,/ number0 number1,14.0,"[2, 3, 4, 15, 16, 17, 29, 30, 31]",3,Common-Division,lex read a number0 page book about music and instruments . if he can read exactly number1 pages a day,how many days will it take lex to finish reading the book ?
455,lex read another book with number0 pages . if he read the same number of pages for number1 days how many pages did he read every day ?,240 12,/ number0 number1,20.0,"[4, 5, 6, 12, 16, 17, 18, 24, 25, 26]",3,Common-Division,lex read another book with number0 pages . if he read the same number of pages for number1 days,how many pages did he read every day ?
456,liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books . how many books did they sell altogether ?,27 15,+ number0 number1,42.0,"[1, 5, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",3,Addition,liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .,how many books did they sell altogether ?
457,scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books . how many comic books did scott and sam sell ?,90 25,- number0 number1,65.0,"[1, 2, 34, 35, 5, 36, 7, 8, 12, 13, 14, 15, 23, 24, 25, 26]",3,Subtraction,scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books .,how many comic books did scott and sam sell ?
458,connie saved up $ number0 . she wants to buy a watch that costs $ number1 . how much more money does connie need ?,39 55,- number1 number0,16.0,"[1, 3, 4, 13, 14, 15, 21, 22, 23]",3,Subtraction,connie saved up $ number0 . she wants to buy a watch that costs $ number1 .,how much more money does connie need ?
459,terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces . how many building pieces did they use altogether ?,37 45,+ number0 number1,82.0,"[1, 6, 10, 11, 12, 13, 16, 17, 18, 25, 26, 27]",3,Addition,terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces .,how many building pieces did they use altogether ?
