,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
424,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . if there are number2 seats on each school bus . how many buses are needed to take the trip ?,87 58 2,/ number1 number2,29.0,"[33, 34, 35, 2, 37, 1, 10, 11, 12, 15, 16, 17, 47, 48, 49, 22]",Common-Division,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . if there are number2 seats on each school bus .,how many buses are needed to take the trip ?
425,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . there are number2 seats on each school bus . how many students are in each class ?,24 120 84,/ number1 number0,5.0,"[32, 33, 34, 2, 36, 1, 6, 10, 11, 12, 45, 44, 15, 16, 17, 46, 22]",Common-Division,22,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school with each classroom having the same number of students . there are number2 seats on each school bus .,how many students are in each class ?
426,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip how many buses are needed to take the trip ?,66 102 8 22,/ - number1 number3 number2,10.0,"[1, 2, 5, 10, 11, 12, 46, 15, 16, 17, 47, 48, 21, 22, 23, 25, 29, 30, 31]",Common-Division,21,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip,how many buses are needed to take the trip ?
427,the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip how many students are going on the trip ?,102 11 99 8,- number1 number3,3.0,"[1, 2, 5, 10, 11, 12, 45, 46, 15, 16, 17, 47, 21, 22, 23, 25, 29, 30, 31]",Subtraction,"21, 13",the school is planning a field trip . the school has number0 classrooms . there are number1 students in the school and number2 seats on each school bus . if number3 students do n't want to go for the trip,how many students are going on the trip ?
428,the school is planning a field trip . the school has number0 classrooms . there are number1 seats on each school bus . if there are a total of number2 students in the school how many buses are needed to take the trip ?,72 3 111,/ number2 number1,37.0,"[1, 2, 40, 41, 10, 11, 12, 42, 15, 16, 17, 19, 28, 29, 30]",Common-Division,32,the school is planning a field trip . the school has number0 classrooms . there are number1 seats on each school bus . if there are a total of number2 students in the school,how many buses are needed to take the trip ?
429,the school is planning a field trip . the school has number0 classrooms . there are number1 school buses and a total of number2 students in the school . if all buses are full how many seats are in each bus ?,17 46 92,/ number2 number1,2.0,"[1, 2, 4, 38, 39, 40, 10, 11, 12, 15, 16, 17, 18, 22, 23, 24]",Common-Division,"23, 32",the school is planning a field trip . the school has number0 classrooms . there are number1 school buses and a total of number2 students in the school . if all buses are full,how many seats are in each bus ?
430,in haley 's class number0 are boys who love to play marbles . if haley gives number1 marbles to each boy how many marbles did she have ?,11 9,* number0 number1,99.0,"[2, 3, 4, 5, 9, 10, 13, 15, 16, 17, 19, 24, 25, 26]",Multiplication,23,in haley 's class number0 are boys who love to play marbles . if haley gives number1 marbles to each boy,how many marbles did she have ?
431,in haley 's class some boys love to play marbles . if haley has number0 marbles and she gave number1 marbles to each boy how many boys did she give the marbles to ?,10 5,/ number0 number1,2.0,"[32, 2, 7, 8, 13, 14, 15, 18, 19, 20, 22, 30, 31]",Common-Division,23,in haley 's class some boys love to play marbles . if haley has number0 marbles and she gave number1 marbles to each boy,how many boys did she give the marbles to ?
432,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles and wants to keep number2 marbles for herself how many will each of the boys receive ?,4 23 15,/ - number1 number2 number0,2.0,"[32, 33, 2, 3, 4, 5, 8, 10, 15, 16, 17, 21, 22, 23, 29, 31]",Common-Division,21,in haley 's class number0 are boys who love to play marbles . if haley has number1 marbles and wants to keep number2 marbles for herself,how many will each of the boys receive ?
433,in haley 's class number0 boys love to play marbles and number1 boys love to play cards . if haley has number2 marbles how many will each of the boys receive ?,13 50 26,/ number2 number0,2.0,"[2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 20, 21, 22, 26, 28, 29, 30]",Common-Division,33,in haley 's class number0 boys love to play marbles and number1 boys love to play cards . if haley has number2 marbles,how many will each of the boys receive ?
434,haley has number0 marbles . in her class number1 boys love to play marbles . if she distributes her marbles equally how many will each of the boys receive ?,20 2,/ number0 number1,10.0,"[1, 2, 3, 7, 8, 9, 24, 26, 27, 28]",Common-Division,32,haley has number0 marbles . in her class number1 boys love to play marbles . if she distributes her marbles equally,how many will each of the boys receive ?
435,in haley 's class some boys love to play marbles . haley gives number0 marbles to each boy . if she had number1 marbles how many boys did she give the marbles to ?,2 28,/ number1 number0,14.0,"[32, 1, 2, 8, 10, 12, 13, 14, 16, 21, 22, 23, 30, 31]",Common-Division,"23, 32",in haley 's class some boys love to play marbles . haley gives number0 marbles to each boy . if she had number1 marbles,how many boys did she give the marbles to ?
436,frank was reading through his favorite book . the book had number0 pages and he read number1 pages per day . how many days did he take to finish the book ?,392 14,/ number0 number1,28.0,"[2, 7, 10, 11, 12, 15, 16, 17, 18, 28, 29, 30]",Common-Division,23,frank was reading through his favorite book . the book had number0 pages and he read number1 pages per day .,how many days did he take to finish the book ?
437,frank was reading through his favorite book . he read number0 pages per day and it took him number1 days to finish the book . how many pages are there in the book ?,22 569,* number0 number1,12518.0,"[32, 1, 4, 8, 9, 10, 11, 12, 17, 18, 19, 30, 31]",Multiplication,23,frank was reading through his favorite book . he read number0 pages per day and it took him number1 days to finish the book .,how many pages are there in the book ?
438,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many pages did he read per day ?,612 24 6,/ number0 number2,102.0,"[1, 2, 35, 34, 5, 36, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,33,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many pages did he read per day ?
439,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many pages are in each chapter ?,555 5 220,/ number0 number1,111.0,"[1, 34, 2, 33, 35, 6, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,"33, 11",frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many pages are in each chapter ?
440,frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book . how many chapters did he read per day ?,193 15 660,/ number2 number1,44.0,"[1, 2, 35, 34, 5, 36, 10, 11, 12, 15, 16, 17, 21, 22, 23]",Common-Division,"33, 12",frank was reading through his favorite book . the book had number0 pages equally distributed over number1 chapters . it took frank number2 days to finish the book .,how many chapters did he read per day ?
441,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . how many pages did he read per day ?,249 3,/ number0 number1,83.0,"[1, 2, 5, 7, 9, 10, 11, 15, 16, 17, 20, 28, 29, 30]",Common-Division,22,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book .,how many pages did he read per day ?
442,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . if he takes number2 days to finish all books how many books did he read ?,66 12 492,/ number2 number1,41.0,"[2, 35, 36, 37, 7, 9, 10, 11, 15, 16, 17, 20, 25, 26, 27]",Common-Division,22,frank was reading through some books . each book had number0 pages and it took frank number1 days to finish each book . if he takes number2 days to finish all books,how many books did he read ?
443,frank was reading through his favorite book . it took him number0 days to finish the book . if the book had number1 pages how many pages did he read per day ?,16 112,/ number1 number0,7.0,"[1, 3, 7, 10, 11, 12, 21, 22, 23, 29, 30, 31]",Common-Division,32,frank was reading through his favorite book . it took him number0 days to finish the book . if the book had number1 pages,how many pages did he read per day ?
444,frank was reading through his favorite book . he read number0 pages per day . if the book had number1 pages how many days did he take to finish the book ?,8 576,/ number1 number0,72.0,"[1, 3, 9, 10, 11, 12, 18, 19, 20, 28, 29, 30]",Common-Division,"23, 32",frank was reading through his favorite book . he read number0 pages per day . if the book had number1 pages,how many days did he take to finish the book ?
445,frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book . how many pages did he read per day ?,41 450 30,/ number1 number2,15.0,"[1, 34, 2, 33, 5, 35, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22]",Common-Division,"33, 32",frank was reading through his favorite book . the book had number0 chapters each with number1 pages . it took frank number2 days to finish the book .,how many pages did he read per day ?
